symbol,last_year_avg_peak_return
360ONE,7.837758280200968
3MINDIA,1.1873716664551726
AADHARHFC,5.119074947669051
AARTIIND,6.6353443065782685
AAVAS,5.030510489901105
ABBOTINDIA,5.086198731503142
ABB,1.8964660435779601
ABCAPITAL,4.679768191190714
ABFRL,4.1922667429337945
ABREL,5.06859903771091
ABSLAMC,4.1629907890046285
ACC,5.404047222953889
ACE,3.7967950707103926
ACMESOLAR,9.310636161023256
ADANIENSOL,6.7802381862645085
ADANIENT,4.322822722897928
ADANIGREEN,7.743947093805171
ADANIPORTS,3.5017119984112774
ADANIPOWER,4.2175296034956595
AEGISLOG,4.691568885175045
AFCONS,2.2040471749532564
AFFLE,3.4994310551663634
AIAENG,2.6894397803747103
AIIL,2.7038073792429693
AJANTPHARM,2.6792911895877345
AKUMS,6.360329782795612
ALIVUS,5.17767660954812
ALKEM,2.7360678006191463
ALKYLAMINE,5.2351781117973175
ALOKINDS,3.862665855270688
AMBER,6.057478844433517
AMBUJACEM,5.321891854086336
ANANDRATHI,5.406276532177072
ANANTRAJ,2.4440337697236547
ANGELONE,6.657404278645766
APARINDS,5.502971866503944
APLAPOLLO,3.1601428226275874
APLLTD,2.1333069738108734
APOLLOHOSP,3.919557803438023
APOLLOTYRE,6.027763293683509
APTUS,3.201040457575244
ARE&M,3.3549929352058747
ASAHIINDIA,5.940219225098053
ASHOKLEY,3.773815615937426
ASIANPAINT,2.1397554847158604
ASTERDM,3.1661382587940157
ASTRAL,2.6688335139039454
ASTRAZEN,6.9584251331120415
ATGL,2.866614720901669
ATUL,3.1713665602157306
AUBANK,5.745780722860477
AUROPHARMA,0.8282184358385162
AWL,3.461482413805448
AXISBANK,3.527316506489697
BAJAJ-AUTO,3.103058925080296
BAJAJFINSV,1.8992738070737536
BAJAJHFL,3.8701589242602306
BAJAJHIND,6.047753851385743
BAJAJHLDNG,10.134248829264694
BAJFINANCE,3.2766835435521555
BALKRISIND,2.896533335089426
BALRAMCHIN,5.436791012356431
BANDHANBNK,2.3361657246935286
BANKBARODA,2.5608806784155633
BANKINDIA,5.987748973336693
BASF,4.520767888114408
BATAINDIA,2.7825247058543536
BAYERCROP,5.8568796130390535
BBTC,2.8589014452342334
BDL,8.108341250304367
BEL,2.9921862531523256
BEML,4.493873164807972
BERGEPAINT,4.102315125109235
BHARATFORG,1.7268886395941763
BHARTIARTL,3.491519859988573
BHARTIHEXA,3.114311660736452
BHEL,7.422245778149694
BIKAJI,5.919583470644807
BIOCON,2.8374064446787144
BLS,4.819694256023122
BLUEDART,1.6281359530575967
BLUESTARCO,5.46159137252458
BOSCHLTD,2.883231395960021
BPCL,3.385981849972977
BRIGADE,10.078283171105655
BRITANNIA,1.787434454372379
BSE,6.896462036522595
BSOFT,2.282175090197116
CAMPUS,4.083242185289823
CAMS,4.0650340762822355
CANBK,3.6050736370514316
CANFINHOME,2.3679044585684705
CAPLIPOINT,6.254682176084714
CARBORUNIV,4.597001442351156
CASTROLIND,4.277982224457051
CCL,5.692165801633434
CDSL,7.329028916151681
CEATLTD,6.167595779557511
CENTRALBK,3.8756413941762955
CENTURYPLY,2.219907891286832
CERA,5.646490387294345
CESC,4.3734103925242245
CGCL,3.964987723284066
CGPOWER,3.395924890131852
CHALET,6.596389314359229
CHAMBLFERT,2.0027341142046007
CHENNPETRO,5.043972145449343
CHOLAFIN,5.773696746893381
CHOLAHLDNG,6.206347336357095
CIPLA,1.8241259119496922
CLEAN,6.936360322893407
COALINDIA,2.687300531551451
COCHINSHIP,7.068887360050802
COFORGE,2.3081138255794498
COHANCE,7.543515625990175
COLPAL,2.8507804116881252
CONCORDBIO,8.025201344624241
CONCOR,4.154535441790856
COROMANDEL,2.5311638310818507
COSMOFIRST,23.56288945259523
CRAFTSMAN,6.730405988674119
CREDITACC,5.681058266075745
CRISIL,2.385882524357711
CROMPTON,1.818453967748934
CUB,6.153962340241867
CUMMINSIND,5.026069910601492
CYIENT,2.3722744808748364
DABUR,2.8874808779253414
DALBHARAT,4.50817054764604
DATAPATTNS,10.069243765509727
DBREALTY,2.668378795433172
DCMSHRIRAM,9.266645456244769
DEEPAKFERT,4.42818880883645
DEEPAKNTR,4.408629644830213
DELHIVERY,3.2425338681908222
DEVYANI,6.53087180468748
DIVISLAB,6.0745327613556555
