symbol,overall_avg_peak_return,overall_win_rate,trades_per_year,consistency_score_%,profitable_years,total_years_with_trades,new_tier
360ONE,6.009037159252249,69.64285714285714,6.222222222222222,100.0,9,9,1A
AARTIIND,5.059056770831835,67.6923076923077,5.909090909090909,100.0,11,11,1A
AAVAS,5.894993768077224,60.60606060606061,8.25,100.0,8,8,1A
ABCAPITAL,5.197641929770383,59.32203389830508,6.555555555555555,100.0,9,9,1A
ABFRL,6.145004233157686,67.6056338028169,6.454545454545454,100.0,11,11,1A
ACE,7.562920371478377,79.59183673469387,8.909090909090908,100.0,11,11,1A
ACMESOLAR,9.310636161023256,100.0,5.0,100.0,1,1,1A
ADANIENSOL,8.760735088766337,71.42857142857143,7.636363636363637,100.0,11,11,1A
ADANIENT,8.50498835936844,69.62025316455697,7.181818181818182,100.0,11,11,1A
ADANIGREEN,13.072810161975642,79.6875,8.0,100.0,8,8,1A
ADANIPOWER,8.846934314708978,64.36781609195403,7.909090909090909,100.0,11,11,1A
AEGISLOG,6.287191445714748,59.09090909090909,8.0,100.0,11,11,1A
AFFLE,8.612439815965159,74.57627118644068,8.428571428571429,100.0,7,7,1A
AIIL,9.809754713442356,66.66666666666666,6.0,100.0,2,2,1A
AKUMS,6.210752401323066,63.63636363636363,5.5,100.0,2,2,1A
ALKYLAMINE,6.580880956378426,65.13761467889908,9.909090909090908,100.0,11,11,1A
ALOKINDS,8.546820843564898,72.58064516129032,10.333333333333334,100.0,6,6,1A
AMBER,5.514064911235422,65.51724137931035,7.25,100.0,8,8,1A
ANANDRATHI,5.021793330903253,62.85714285714285,8.75,100.0,4,4,1A
ANANTRAJ,10.663440203280471,83.72093023255815,7.818181818181818,100.0,11,11,1A
APARINDS,6.668672354360015,72.09302325581395,7.818181818181818,100.0,11,11,1A
ASAHIINDIA,5.058415244323895,61.05263157894737,8.636363636363637,100.0,11,11,1A
ASHOKLEY,5.608290416253632,63.888888888888886,6.545454545454546,100.0,11,11,1A
ASTERDM,5.089968846607468,55.73770491803278,7.625,100.0,8,8,1A
ASTRAL,5.700789325905427,66.66666666666666,8.181818181818182,100.0,11,11,1A
ATGL,9.940065428543694,72.88135593220339,8.428571428571429,100.0,7,7,1A
AWL,5.988158229715825,59.375,8.0,100.0,4,4,1A
BAJAJHIND,8.840502005316049,80.41237113402062,8.818181818181818,100.0,11,11,1A
BALRAMCHIN,5.194947749309927,58.75,7.272727272727272,100.0,11,11,1A
BANDHANBNK,5.2453940773448045,62.74509803921568,6.375,100.0,8,8,1A
BANKBARODA,5.9982489434644926,65.15151515151516,6.0,100.0,11,11,1A
BANKINDIA,7.097821458675155,71.7948717948718,7.090909090909091,100.0,11,11,1A
BASF,5.854441249737526,57.60869565217392,8.363636363636363,100.0,11,11,1A
BBTC,6.441673933400774,71.28712871287128,9.181818181818182,100.0,11,11,1A
BDL,8.021212948462152,70.0,8.75,100.0,8,8,1A
BEML,6.126114153004365,67.3469387755102,8.909090909090908,100.0,11,11,1A
BHEL,6.076262536135926,67.08860759493672,7.181818181818182,100.0,11,11,1A
BIKAJI,6.843493870104836,63.33333333333333,7.5,100.0,4,4,1A
BLS,8.28877301026778,78.75,8.0,100.0,10,10,1A
BRIGADE,5.740502167987666,65.11627906976744,7.818181818181818,100.0,11,11,1A
BSE,6.116973722934777,62.35294117647059,9.444444444444445,100.0,9,9,1A
CAMPUS,5.098583908761665,63.33333333333333,7.5,100.0,4,4,1A
CAMS,5.656630379781448,58.82352941176471,8.5,100.0,6,6,1A
CANBK,7.172944972597731,68.75,5.818181818181818,100.0,11,11,1A
CAPLIPOINT,7.976635052063073,66.0,9.090909090909092,100.0,11,11,1A
